=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    577 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/73-+
    593 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    609 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    610 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    643 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    648 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    707 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    708 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    716 root      20   0       0      0      0 S   0.0   0.0   0:00.15 jbd2/sd+
    717 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    720 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    724 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    725 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    726 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    730 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    861 systemd+  20   0   21712  12672  10496 S   0.0   0.1   0:00.75 systemd+
    866 systemd+  20   0   91048   7808   6912 S   0.0   0.0   0:00.26 systemd+
    967 systemd+  20   0   22020   9472   8448 S   0.0   0.1   0:05.64 systemd+
    995 avahi     20   0    8820   4480   4096 S   0.0   0.0   0:04.84 avahi-d+
    996 message+  20   0   10396   5988   4608 S   0.0   0.0   0:00.56 dbus-da+
   1003 polkitd   20   0  383704   9488   7296 S   0.0   0.1   0:01.07 polkitd
   1005 root      20   0 1235016  11932   7424 S   0.0   0.1   0:01.13 canonic+
   1007 root      20   0 1923376  38344  24320 S   0.0   0.2   0:02.92 snapd
   1009 root      20   0   18192   8824   7680 S   0.0   0.1   0:00.26 systemd+
   1010 root      20   0  422272  11136  10368 S   0.0   0.1   0:02.79 thermald
   1011 root      20   0  469352  14336  11264 S   0.0   0.1   0:03.74 udisksd
   1016 avahi     20   0    8424   1444   1152 S   0.0   0.0   0:00.00 avahi-d+
   1045 root      20   0 2394916  54404  35072 S   0.0   0.3   0:46.17 contain+
   1068 root      20   0  109692  22528  13440 S   0.0   0.1   0:00.13 unatten+
   1071 syslog    20   0  222508   6272   4480 S   0.0   0.0   0:00.15 rsyslogd
   1082 root      20   0  392092  12416  10624 S   0.0   0.1   0:00.12 ModemMa+
   1091 root      20   0  310952   7680   7040 S   0.0   0.0   0:00.12 boltd
